accelerate	acelerar
access	acessar
add	adicionar
adhere	aderir
apologize	desculpar-se
arrange	arranjar
arrive	chegar
ask	perguntar
attack	atacar
attract	atrair
bake    assar
balance	equilibrar
bathe	tomar banho
beg	implorar
bend	dobrar, curvar
bite	morder
blend	misturar
blink	piscar
blow	soprar
boil	fever
borrow	pegar emprestado de
bow	arquear
brag	gabar-se
break	quebrar
brew	coar café ou chá
broil	assar pelo calor abaixo
brush	escovar
build   construir
buy	comprar
calculate	calcular
call	chamar
carry	carregar
catch	pegar, agarrar
charge	carregar
chase	perseguir
chew	mastigar
chisel	usar talhadeira
chop	cortar
chop	picar
clap	bater palmas
clean	limpar
climb	escalar
close	fechar
color	colorir
comb	pentear
come	vir
connect	conectar
consult	consultar
convert	converter
cook	cozinhar
copy	copiar
cough	tossir
count	contar
crack	rachar
cram	amontoar
crawl	arrastar
create	criar
crumple	amassar
crush	triturar
cry	chorar
cultivate	cultivar
curl	enrolar
cut	cortar
dance	dançar
debate	debater
defecate	defecar
delay	atrasar
design	projetar
destroy	destruir
dice	cortar em cubos
dig	escavar
discuss	dicutir
dislike	não gostar
dissect	dissecar
dive	mergulhar
divide	dividir
download	download
drag	arrastar
draw	desenhar
dream	sonhar
drill	furar
drink	beber
drive	dirigir
drop	soltar, gotejar
dry	secar
dust	varrer com as mãos ou escova
dye	tingir
eat	comer
edit	editar
encourage	encorajar
enjoy	aproveitar
enter	entrar
erase	apagar
explode	explodir
explore explorar
faint	desmaiar
fall	cair
feed	alimentar
feel	sentir
find	encontrar
finish	terminar
flick	estalar
flip	virar
flirt	flertar
float	flutuar
fly	voar
fold	dobrar
follow	seguir
fondle	acariciar
frown	fazer careta
fry	fritar
fry	fritar
gargle	gargarejar
garnish	adornar
give	dar
glide	planar
glue	colar
grab	pegar
grasp	entender
grate	ralar
grate	ralar
grill	grelhar
grind	moer
grind	moer
grip	agarrar com firmeza
grow	crescer
hammer	martelar
hang	pendurar
harvest colher
hate	odiar
have	ter
hear	ouvir
help	ajudar
hide	esconder
hike    caminhar
hold	segurar
hop	saltar
hug	abraçar
hunch	palpitar
interpret	interpretar
invent	inventar
iron	passar o ferro
juggle	fazer malabarismo
jump	saltar
kick	chutar
kiss	beijar
knead	amassar com as mãos*
kneel	ajoelhar
knit	tricotar*
knock	bater
lash	bater com força
laugh	rir
launch	lançar
leak	pingar
lean	encostar
learn	aprender
leave	deixar
lend	emprestar para
lick	lamber
lift	levantar
like	ser como
listen	escutar
lock	trancar
look	olhar
lose	perder
love	amar
mark	marcar
massage	massagear
measure	medir
microwave	usar o microondas
miss	perder
mix	misturar
mix	misturar
move	mover
mumble	resmungar
need	precisar
nibble	mordiscar
nod	acenar com a cabeça
open	abrir
own	possuir
pack	empacotar
paint	pintar
park    estacionar
peel	descascar
peel	descascar
pick	escolher
pinch	colocar pitada
plant	plantar
play	brincar
plow	arar
pluck	arrancar
plug	plugar
poach	cozinhar abaixo da fervura
point	apontar
polish	polir
pound	socar
pour	derramar
pout	fazer beicinho
praise	louvar
press	pressionar
prick	picar
primp	enfeitar
print	imprimir
protect	proteger
pull	puxar
pump	bombear
punch	socar
push	empurar
quarrel	discutir de forma agressiva
queue	enfileirar
rake	varrer com ancinho
rate	avaliar
read	ler
receive	receber
record	gravar
refuse	recusar
regurgitate	regurgitar
release	liberar
repair	reparar
repeat	repetir
rescue	resgatar
rest	descansar
return	retornar
ride	andar de
rinse	limpar
rise	ascender
roast	assar no forno
roll	amassar com o rolo
roll	rolar
rub	esfregar
run	correr
saw	serrar
score	pontuar
scratch	arranhar
scream	gritar
scrub	esfregar
sculpt	esculpir
sear	tostar
seek	procurar
see	ver
select	selecionar
sell	vender
send	enviar
sew	costurar
shake	sacudir
share	compartilhar
shave	depilar
shiver	tremer
shoot	atirar
shop	comprar
shout	gritar
shove	empurrar
shrug	dar de ombros
sift	peneirar
sigh	suspirar
simmer	cozinhar até a fervura
sing	cantar
sip	beber pequenas quantidades
sit	sentar
ski	esquiar
skip	pular
slam	bater
sleep	dormir
slice	fatiar
slide	escorregar
slip	escorregar
slurp	comer ou beber fazendo barulho
smash	esmagar
smell	cheirar
smile	sorrir
snap	estalar
sneeze	espirrar
snort	bufar
soak	absorver
solve   resolver
spend	gastar
spin	girar
spit	salivar
spray	borrifar
spread	espalhar*
squeeze	espremer
stand	ficar
staple	grampear
start	começar
stay	ficar
steam	cozinhar no vapor
stir	mexer
stoop	inclinar-se
stop    parar
straighten	desempenar
struggle	tentar fazer com dificuldade
study	estudar
suck	chupar
swallow	engolir
swim	nadar
swing	balançar
swoop	investir
tag	marcar
talk	conversar
tap	tocar
taste	provar
tattoo	tatuar
teach	ensinar
tear	rasgar
tenderize	amaciar carne
text	enviar mensagens de texto
think	pensar
throw	atirar
tickle	cócegas
tie	atar
tighten	apertar
tiptoe	ficar na ponta dos pés
toast	tostar
touch	tocar
travel	viajar
trim	aparar
tumble	tombar
turn	virar, voltar
twist	torcer
type	digitar
unload	descarregar
unlock	destrancar
unpack	desempacotar
unplug	desplugar
vacuum	limpar com aspirador de pó
vibrate	vibrar
visit	visitar
vomit	vomitar
wade	caminhar sobre um líquido com esforço
wag	abanar
wait	esperar
wake	acordar
walk	caminhar
want	querer
wash	lavar
watch	assistir
water   regar com água
wave	acenar
wax	encerar
wear	vestir
weave	tecer
weld	soldar
whisk	bater até virar espuma
whisper	sussurrar
whistle	assobiar
whittle	talhar em madeira
wiggle	mexer
win	ganhar
wink	piscar
wipe	limpar
wither	mirrar
wobble	oscilar
work	trabalhar
wrap	embrulhar
wrench	apertar com chave de boca
wring	torcer
write	escrever
yawn	bocejar
zest	ralar a casca de frutas cítricas



----------------------------------------------
Novos
achieve	alcançar
agree to	concordar
approve	aprovar
assume	presumir
attain	atingir
be	ser, estar
capture	capturar
choose	escolher
collect	coletar
convince	convencer
criticize	criticar
distribute	distribuir
do	fazer
draw	abrir
exhibit	exibir
find	achar
find fault with	encontrar falhas em
fix	consertar
gather	juntar
get	ganhar, conseguir, pegar
go	ir
insult	insultar
know	saber
make	fazer
obtain	obter
offend	ofender
persuade	persuadir
propose	propor
publish	publicar
purchase	comprar
reply	responder
resolve	resolver
respond	responder
say	dizer
secure	asegurar
seem	parecer
show	mostrar
suggest	sugerir
suspect	suspeitar
take	pegar, levar
tell	contar
toss	lançar
transform	transformar
transport	transportar
try	tentar, experimentar
unearth	desenterrar
use	usar
